"category","title","level","description","starter_code","test_cases","hints","id","function_name"
"python-basics","Palindrome Checker","beginner","Bir kelimenin veya cümlenin palindrome olup olmadığını kontrol et.
Büyük/küçük harf fark etmesin, boşluk ve noktalama işaretlerini yok say.
Örnek: 'A man a plan a canal Panama' → True","def is_palindrome(text: str) -> bool:
    pass","[{""input"": ""radar"", ""expected"": true}, {""input"": ""Python"", ""expected"": false}, {""input"": ""A man a plan a canal Panama"", ""expected"": true}, {""input"": ""hello"", ""expected"": false}]","[""💡 İpucu 1: Önce metnin yalnızca harf ve rakamlardan oluşan temiz halini oluştur. ''.join(...) ve str.isalnum() kullanabilirsin."", ""💡 İpucu 2: Büyük/küçük harf farkını ortadan kaldırmak için .lower() metodunu kullan."", ""💡 İpucu 3: Temizlenmiş string'i tersiyle karşılaştır: cleaned == cleaned[::-1]""]","1","is_palindrome"
"python-basics","Emoji FizzBuzz","beginner","1'den n'e kadar say.
3'e bölünüyorsa 'Fizz🎉', 5'e bölünüyorsa 'Buzz🚀',
her ikisine de bölünüyorsa 'FizzBuzz🎊' yaz.
Diğer sayıları string olarak ekle.","def emoji_fizzbuzz(n: int) -> list[str]:
    pass","[{""input"": 5, ""expected"": [""1"", ""2"", ""Fizz🎉"", ""4"", ""Buzz🚀""]}, {""input"": 15, ""expected"": [""1"", ""2"", ""Fizz🎉"", ""4"", ""Buzz🚀"", ""Fizz🎉"", ""7"", ""8"", ""Fizz🎉"", ""Buzz🚀"", ""11"", ""Fizz🎉"", ""13"", ""14"", ""FizzBuzz🎊""]}]","[""💡 İpucu 1: Önce hem 3 hem 5'e bölünme durumunu kontrol et (FizzBuzz🎊). Sıra önemli!"", ""💡 İpucu 2: Bölünebilirlik için % (modulo) operatörünü kullan: i % 3 == 0"", ""💡 İpucu 3: Hiçbir koşula uymuyorsa sayıyı string'e çevir: str(i)""]","2","emoji_fizzbuzz"
"python-basics","Kelimelerin En Uzunu","beginner","Bir cümledeki en uzun kelimeyi ve uzunluğunu döndür.
Birden fazla aynı uzunlukta kelime varsa ilkini döndür.
Not: Sonuç [kelime, uzunluk] şeklinde liste olmalı.","def longest_word(x: str) -> list[str]:
    pass","[{""input"": ""Python çok eğlenceli bir dil"", ""expected"": [""eğlenceli"", 9]}, {""input"": ""Merhaba dünya"", ""expected"": [""Merhaba"", 7]}, {""input"": ""a bb ccc"", ""expected"": [""ccc"", 3]}]","[""💡 İpucu 1: sentence.split() ile cümleyi kelimelere ayır."", ""💡 İpucu 2: max(words, key=len) ile en uzun kelimeyi bul."", ""💡 İpucu 3: Sonucu liste olarak döndür: [word, len(word)]""]","3","longest_word"
"python-basics","Sihirli Kare Kontrolü","beginner","Verilen 3x3 liste bir sihirli kare mi?
Satır, sütun ve iki çapraz toplamların hepsi eşit olmalı.","def is_magic_square(nums: list[int], lst: list[int], arr2: list[int]) -> bool:
    pass","[{""input"": [[2, 7, 6], [9, 5, 1], [4, 3, 8]], ""expected"": true}, {""input"": [[1, 2, 3], [4, 5, 6], [7, 8, 9]], ""expected"": false}]","[]","4","is_magic_square"
"python-basics","Sayı Tahmin Skoru","beginner","Kullanıcının tahminleri ve gerçek sayı verildiğinde,
kaç tahminin tam doğru, kaç tahminin ±5 içinde, kaç tahminin uzak olduğunu döndür.","def score_guesses(nums: dict) -> dict:
    pass","[{""input"": {""guesses"": [10, 12, 50, 11], ""secret"": 10}, ""expected"": {""exact"": 1, ""close"": 2, ""far"": 1}}, {""input"": {""guesses"": [1, 2, 3], ""secret"": 100}, ""expected"": {""exact"": 0, ""close"": 0, ""far"": 3}}]","[""💡 İpucu 1: abs(guess - secret) ile farkın mutlak değerini al."", ""💡 İpucu 2: diff == 0 ise 'exact', diff <= 5 ise 'close', değilse 'far'."", ""💡 İpucu 3: Sonuçları sayacak bir dict oluştur ve döngüde güncelle.""]","5","score_guesses"
"python-basics","Asal Sayı Kontrolü","beginner","Verilen sayının asal olup olmadığını kontrol et.
1 ve altındaki sayılar asal değildir.","def is_prime(n: int) -> bool:
    pass","[{""input"": 2, ""expected"": true}, {""input"": 17, ""expected"": true}, {""input"": 1, ""expected"": false}, {""input"": 9, ""expected"": false}]","[""💡 İpucu 1: n <= 1 ise direkt False döndür."", ""💡 İpucu 2: 2'den √n'e kadar bölenleri kontrol et: range(2, int(n**0.5)+1)"", ""💡 İpucu 3: Herhangi bir bölen bulursan False, döngü biterse True döndür.""]","7","is_prime"
"python-basics","Liste Düzleştirme","beginner","İç içe geçmiş listeyi tek seviyeli listeye dönüştür.
Yalnızca bir seviye derinlik garantilidir.","def flatten(nums: list[int], lst: list[int], arr2: list[int]) -> list[int]:
    pass","[{""input"": [[1, 2], [3, 4], [5]], ""expected"": [1, 2, 3, 4, 5]}, {""input"": [[10], [20, 30], [40, 50, 60]], ""expected"": [10, 20, 30, 40, 50, 60]}]","[""💡 İpucu 1: Boş bir liste oluştur ve her alt listeyi üzerine extend() et."", ""💡 İpucu 2: List comprehension ile: [item for sublist in nested for item in sublist]"", ""💡 İpucu 3: itertools.chain.from_iterable(nested) de çalışır.""]","8","flatten"
"python-basics","Fibonacci Dizisi","beginner","İlk n Fibonacci sayısını liste olarak döndür.
F(0)=0, F(1)=1 ile başlar; her sonraki sayı kendinden önceki ikisinin toplamıdır.
n=0 ise boş liste, n=1 ise [0] döndür.","def fibonacci(n: int) -> list[int]:
    pass","[{""input"": 7, ""expected"": [0, 1, 1, 2, 3, 5, 8], ""description"": ""tipik n=7""}, {""input"": 1, ""expected"": [0], ""description"": ""sınır n=1""}, {""input"": 0, ""expected"": [], ""description"": ""sınır n=0 boş liste""}, {""input"": 10, ""expected"": [0, 1, 1, 2, 3, 5, 8, 13, 21, 34], ""description"": ""uzun seri""}]","[]","9","fibonacci"
"python-basics","Anagram Kontrolü","beginner","İki kelimenin anagram olup olmadığını kontrol et.
Büyük/küçük harf ve boşluk fark etmesin.","def is_anagram(s: dict) -> bool:
    pass","[{""input"": {""word1"": ""listen"", ""word2"": ""silent""}, ""expected"": true}, {""input"": {""word1"": ""hello"", ""word2"": ""world""}, ""expected"": false}, {""input"": {""word1"": ""Astronomer"", ""word2"": ""Moon starer""}, ""expected"": true}]","[""💡 İpucu 1: Her iki string'i .lower() yap ve boşlukları kaldır."", ""💡 İpucu 2: sorted() ile harfleri sırala ve karşılaştır: sorted(a) == sorted(b)"", ""💡 İpucu 3: Ya da Counter(a) == Counter(b) ile frekans karşılaştır.""]","10","is_anagram"
"python-basics","Kelime Tersleyici","beginner","Cümledeki kelimelerin sırasını tersine çevir,
fakat kelimelerin kendisini tersine çevirme.","def reverse_words(x: str) -> str:
    pass","[{""input"": ""Merhaba Dünya"", ""expected"": ""Dünya Merhaba""}, {""input"": ""Python çok güzel"", ""expected"": ""güzel çok Python""}]","[""💡 İpucu 1: sentence.split() ile kelimelere ayır."", ""💡 İpucu 2: words[::-1] veya reversed(words) ile sırayı tersine çevir."", ""💡 İpucu 3: ' '.join(...) ile tekrar birleştir.""]","11","reverse_words"
"python-basics","İkinci En Büyük","beginner","Bir listedeki ikinci en büyük eşsiz sayıyı döndür.
Eğer yoksa None döndür.","def second_largest(n: int, k: int, pos: int, threshold: int, count: int, n2: int, n3: int, n4: int) -> int:
    pass","[{""input"": [3, 1, 4, 1, 5, 9, 2, 6], ""expected"": 6}, {""input"": [5, 5, 5], ""expected"": null}, {""input"": [10, 20], ""expected"": 10}]","[""💡 İpucu 1: Önce set() ile tekrarları kaldır."", ""💡 İpucu 2: sorted() veya max() kullanarak en büyükleri bul."", ""💡 İpucu 3: len(unique) < 2 ise None döndür, yoksa sorted(unique)[-2]""]","12","second_largest"
"python-basics","Sezar Şifresi","beginner","Metni n karakter kaydırarak şifrele (yalnızca İngilizce harfler","def caesar_cipher(x: dict) -> str:
    pass","[{""input"": {""text"": ""Hello"", ""shift"": 3}, ""expected"": ""Khoor""}, {""input"": {""text"": ""xyz"", ""shift"": 3}, ""expected"": ""abc""}, {""input"": {""text"": ""Hello, World!"", ""shift"": 13}, ""expected"": ""Uryyb, Jbeyq!""}]","[""💡 İpucu 1: ord() ile karakterin ASCII kodunu al, chr() ile geri dönüştür."", ""💡 İpucu 2: Büyük harf için: chr((ord(c) - ord('A') + shift) % 26 + ord('A'))"", ""💡 İpucu 3: Harf olmayanları (noktalama vb.) olduğu gibi bırak.""]","13","caesar_cipher"
"python-basics","Matris Transpozu","beginner","Verilen bir matrisin transpozunu hesaplayan fonksiyon yaz. Transpoz, satırların sütun, sütunların satır olması işlemidir; her (i, j) elemanı (j, i) konumuna taşınır. Kenar durumlar: tek satırlı veya tek sütunlu matrisler.","def transpose(nums: list[int], lst: list[int]) -> list[list[int]]:
    pass","[{""input"": [[1, 2, 3], [4, 5, 6]], ""expected"": [[1, 4], [2, 5], [3, 6]]}, {""input"": [[1, 2], [3, 4], [5, 6]], ""expected"": [[1, 3, 5], [2, 4, 6]]}]","[""💡 İpucu 1: zip(*matrix) sihirli bir araçtır — satırları transpose eder."", ""💡 İpucu 2: [list(row) for row in zip(*matrix)] ile sonucu listele."", ""💡 İpucu 3: Manuel yol: result[j][i] = matrix[i][j] ile iç içe döngü.""]","14","transpose"
"python-basics","Parantez Dengesi","beginner","Verilen bir string'deki parantezlerin dengeli olup olmadığını kontrol et.
(","def is_balanced(s: str) -> bool:
    pass","[{""input"": ""([]{})"", ""expected"": true}, {""input"": ""([)]"", ""expected"": false}, {""input"": """", ""expected"": true}, {""input"": ""((("", ""expected"": false}]","[]","16","is_balanced"
"python-basics","Run-Length Encoding","beginner","Bir string'i run-length encoding ile sıkıştır.
'aaabbc' → '3a2b1c'","def rle_encode(x: str) -> str:
    pass","[{""input"": ""aaabbc"", ""expected"": ""3a2b1c""}, {""input"": ""aabbccdd"", ""expected"": ""2a2b2c2d""}, {""input"": ""abc"", ""expected"": ""1a1b1c""}]","[""💡 İpucu 1: Mevcut karakteri ve sayısını tut: current_char, count."", ""💡 İpucu 2: Karakter değişince sonucu ekle: result += str(count) + current_char"", ""💡 İpucu 3: Döngü bittikten sonra son grubu da eklemeyi unutma.""]","18","rle_encode"
"python-basics","Kelime Sıklığı","beginner","Bir metindeki en sık geçen k kelimeyi döndür.
Büyük/küçük harf duyarlı olmasın, noktalama işaretlerini yok say.","def top_k_words(x: dict) -> list[str]:
    pass","[{""input"": {""text"": ""bir iki bir üç iki bir"", ""k"": 2}, ""expected"": [""bir"", ""iki""]}, {""input"": {""text"": ""the cat sat on the mat the"", ""k"": 1}, ""expected"": [""the""]}]","[""💡 İpucu 1: .lower() ve .split() ile kelimeleri ayır."", ""💡 İpucu 2: collections.Counter(words) ile frekans sözlüğü oluştur."", ""💡 İpucu 3: counter.most_common(k) ile en sık k kelimeyi al.""]","19","top_k_words"
